player_name,surface,tourney_level,avg_ace,avg_df,avg_svpt,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced
Federico Coria,Grass,G,1.0,1.0,101.0,64.0,40.0,19.0,17.0,7.0,12.0
Federico Coria,Hard,A,1.6666666666666667,2.0,84.0,52.0,32.0,12.333333333333334,11.333333333333334,4.666666666666667,9.333333333333334
Federico Coria,Hard,G,1.0,4.0,168.0,121.0,77.0,21.0,25.0,11.0,18.0
Federico Coria,Hard,M,3.0,2.5,53.5,35.5,21.0,7.0,8.5,4.0,8.0
Federico Delbonis,Clay,A,2.0,5.0,107.0,65.0,41.5,24.0,15.5,8.0,12.0
Feliciano Lopez,Clay,A,11.0,5.0,107.0,48.0,35.0,26.0,15.0,8.0,14.0
Feliciano Lopez,Grass,A,10.0,4.25,68.75,39.5,29.75,16.25,11.0,4.0,5.75
Feliciano Lopez,Hard,A,11.0,4.5,69.0,37.5,30.5,16.5,10.5,4.0,5.5
Felipe Meligeni Alves,Hard,A,3.0,1.25,65.0,41.5,30.25,10.5,9.75,4.25,6.25
Felipe Meligeni Alves,Hard,G,12.0,3.0,110.5,75.5,55.5,17.0,16.0,7.0,9.5
Felipe Meligeni Alves,Hard,M,4.0,1.0,66.0,46.0,37.0,11.0,13.0,2.0,4.0
Felix Auger Aliassime,Clay,A,3.0,2.0,27.5,20.0,16.5,2.5,5.0,1.5,2.0
Felix Auger Aliassime,Clay,G,3.0,8.0,85.0,53.0,30.0,11.0,15.0,1.0,9.0
Felix Auger Aliassime,Clay,M,9.5,10.0,107.5,60.5,47.0,21.0,15.5,8.5,11.0
Felix Auger Aliassime,Grass,G,17.0,8.0,151.0,91.0,73.0,31.0,24.0,2.0,5.0
Felix Auger Aliassime,Hard,A,7.833333333333333,2.8333333333333335,68.88888888888889,41.666666666666664,31.61111111111111,14.38888888888889,11.11111111111111,2.6666666666666665,4.388888888888889
Felix Auger Aliassime,Hard,G,15.6,7.0,117.8,73.6,59.4,21.4,20.0,3.0,5.6
Felix Auger Aliassime,Hard,M,8.166666666666666,5.916666666666667,76.75,44.5,35.25,14.5,11.583333333333334,3.0833333333333335,5.0
Fernando Verdasco,Clay,A,0.5,4.5,53.5,33.0,16.5,7.0,8.0,1.5,7.0
Fernando Verdasco,Hard,A,1.3333333333333333,3.6666666666666665,72.66666666666667,45.666666666666664,26.666666666666668,9.333333333333334,10.0,4.0,8.333333333333334
Filip Krajinovic,Clay,A,3.5,2.0,70.5,45.0,27.0,12.5,11.5,5.0,9.5
Filip Krajinovic,Clay,G,4.0,3.0,87.0,51.0,29.0,19.0,13.0,3.0,7.0
Filip Krajinovic,Clay,M,4.0,0.3333333333333333,91.66666666666667,62.666666666666664,36.0,17.333333333333332,13.333333333333334,7.666666666666667,12.333333333333334
Filip Krajinovic,Hard,A,5.571428571428571,1.5714285714285714,83.57142857142857,54.0,37.42857142857143,14.857142857142858,12.571428571428571,3.0,5.857142857142857
Filip Krajinovic,Hard,G,4.0,3.0,94.0,62.0,40.0,10.0,13.0,6.0,13.0
Filip Krajinovic,Hard,M,2.0,1.0,51.0,32.0,14.0,11.0,8.0,5.0,10.0
Filip Misolic,Clay,A,3.8,2.2,84.2,53.0,36.8,14.6,12.6,5.4,8.8
Filip Misolic,Hard,A,5.666666666666667,1.3333333333333333,75.33333333333333,44.666666666666664,33.333333333333336,15.666666666666666,12.0,2.6666666666666665,5.0
Flavio Cobolli,Clay,A,3.8,2.2,72.6,39.6,28.8,18.2,11.0,4.2,6.0
Flavio Cobolli,Clay,G,1.0,4.0,86.0,60.0,28.0,14.0,13.0,11.0,18.0
Flavio Cobolli,Clay,M,2.0,6.0,61.0,36.0,24.0,13.0,9.0,7.0,9.0
Flavio Cobolli,Hard,A,5.5,1.0,62.0,37.0,26.5,10.5,11.0,3.0,6.5
Frances Tiafoe,Clay,A,7.8,1.6,65.8,38.0,31.0,15.4,11.0,1.8,3.2
Frances Tiafoe,Clay,G,9.333333333333334,2.0,112.66666666666667,70.0,52.333333333333336,19.666666666666668,17.333333333333332,6.666666666666667,9.333333333333334
Frances Tiafoe,Clay,M,5.0,2.25,83.25,47.5,32.5,18.0,12.75,4.0,6.75
Frances Tiafoe,Grass,A,7.666666666666667,3.1666666666666665,77.5,45.666666666666664,37.0,18.5,12.333333333333334,1.6666666666666667,2.6666666666666665
Frances Tiafoe,Grass,G,14.0,3.3333333333333335,97.0,57.333333333333336,42.0,20.0,15.0,5.0,8.0
Frances Tiafoe,Hard,A,6.823529411764706,2.1176470588235294,62.11764705882353,38.588235294117645,29.470588235294116,12.647058823529411,9.764705882352942,3.176470588235294,4.352941176470588
Frances Tiafoe,Hard,G,13.875,2.5,99.875,57.625,45.0,23.5,16.75,3.75,6.125
Frances Tiafoe,Hard,M,5.916666666666667,2.0,71.58333333333333,42.416666666666664,32.166666666666664,14.916666666666666,11.416666666666666,2.9166666666666665,4.833333333333333
Francesco Passaro,Clay,A,3.0,4.25,60.75,35.0,24.75,12.25,10.0,3.0,6.0
Francesco Passaro,Clay,M,5.0,4.0,82.0,52.0,32.0,14.0,13.0,2.0,6.0
Francesco Passaro,Hard,A,1.0,1.0,53.0,36.0,23.0,6.0,9.0,3.0,7.0
Francisco Cerundolo,Clay,A,2.3684210526315788,3.5789473684210527,74.21052631578948,48.578947368421055,32.421052631578945,12.210526315789474,11.105263157894736,4.105263157894737,6.894736842105263
Francisco Cerundolo,Clay,G,4.0,5.0,129.0,93.25,61.25,19.0,18.75,7.75,11.5
Francisco Cerundolo,Clay,M,2.4285714285714284,3.142857142857143,81.14285714285714,51.857142857142854,36.57142857142857,15.285714285714286,12.571428571428571,5.857142857142857,8.428571428571429
Francisco Cerundolo,Grass,A,3.0,4.0,81.5,52.0,36.0,13.5,12.5,5.0,8.333333333333334
Francisco Cerundolo,Grass,G,5.5,6.0,104.0,68.5,46.5,16.0,16.0,5.0,9.0
Francisco Cerundolo,Hard,A,0.75,1.75,71.25,46.75,28.5,11.0,10.75,6.0,9.75
Francisco Cerundolo,Hard,G,6.6,4.6,123.6,81.8,55.4,21.6,19.2,7.2,11.0
Francisco Cerundolo,Hard,M,3.466666666666667,3.533333333333333,79.93333333333334,52.2,36.0,13.133333333333333,12.266666666666667,3.7333333333333334,6.666666666666667
Gabriel Diallo,Grass,A,4.0,5.0,73.0,38.0,26.0,11.0,9.0,5.0,10.0
Gabriel Diallo,Hard,A,11.5,5.5,95.0,64.5,45.5,14.0,15.0,2.5,6.5
Gabriel Diallo,Hard,M,7.0,4.5,71.5,43.0,29.0,16.0,11.5,5.0,8.0
Gael Monfils,Clay,A,3.5,2.5,67.5,42.0,30.0,12.0,11.5,4.0,7.0
Gael Monfils,Clay,G,3.0,3.5,83.0,54.0,34.5,10.0,12.0,5.5,10.0
Gael Monfils,Hard,A,8.363636363636363,3.5454545454545454,74.45454545454545,45.0,35.09090909090909,14.909090909090908,11.909090909090908,3.090909090909091,4.636363636363637
Gael Monfils,Hard,G,15.5,12.5,117.5,65.5,51.5,20.0,18.5,6.0,10.5
Gael Monfils,Hard,M,6.9,4.8,67.6,37.1,28.0,15.1,10.9,2.8,5.0
Genaro Alberto Olivieri,Clay,G,2.6666666666666665,3.0,132.33333333333334,94.33333333333333,62.0,18.0,20.333333333333332,8.333333333333334,14.0
Geoffrey Blancaneaux,Hard,A,5.0,2.5,102.0,64.0,43.0,19.5,15.5,2.5,6.5
George Loffhagen,Grass,A,5.0,11.0,119.0,65.0,42.0,23.0,16.0,5.0,11.0
George Loffhagen,Grass,G,9.0,6.0,103.0,66.0,50.0,14.0,14.0,8.0,11.0
Gijs Brouwer,Clay,A,4.6,1.6,59.8,44.0,33.0,7.4,10.0,1.2,2.6
Gijs Brouwer,Grass,A,6.333333333333333,5.0,79.33333333333333,53.0,38.333333333333336,12.666666666666666,11.0,5.666666666666667,7.333333333333333
Gijs Brouwer,Grass,G,7.0,3.0,109.0,74.0,56.0,20.0,17.0,1.0,2.0
Gijs Brouwer,Hard,A,4.5,2.875,69.0,44.0,31.875,13.0,11.375,2.625,4.75
Giovanni Mpetshi Perricard,Clay,G,12.0,13.0,161.0,89.0,67.0,36.0,25.0,9.0,13.0
Giovanni Mpetshi Perricard,Grass,A,14.0,4.0,73.0,45.0,37.0,12.0,11.0,3.0,4.0
Giovanni Mpetshi Perricard,Hard,A,14.0,3.3333333333333335,75.0,52.0,39.0,12.333333333333334,13.0,3.0,5.333333333333333
Giulio Zeppieri,Clay,A,3.0,2.0,71.0,50.0,37.0,10.0,13.0,0.0,3.0
Giulio Zeppieri,Clay,G,8.5,3.5,136.0,80.0,54.5,32.0,21.5,7.5,11.5
Giulio Zeppieri,Clay,M,2.0,2.0,86.0,49.0,32.0,16.0,14.0,6.0,11.0
Gonzalo Lama,Hard,A,3.0,5.0,74.0,41.0,27.0,15.0,10.0,9.0,12.0
Gregoire Barrere,Clay,A,1.75,3.0,77.0,46.75,31.0,14.5,10.75,4.0,6.5
Gregoire Barrere,Clay,G,5.0,10.0,169.0,85.0,55.0,39.0,24.0,11.0,20.0
Gregoire Barrere,Clay,M,4.4,2.0,80.2,51.4,37.8,15.6,13.0,1.6,3.6
Gregoire Barrere,Grass,A,4.0,3.0,86.14285714285714,53.0,37.285714285714285,17.0,12.428571428571429,5.857142857142857,8.285714285714286
Gregoire Barrere,Grass,G,8.0,0.0,127.0,82.5,56.5,28.5,19.0,5.5,7.5
Gregoire Barrere,Hard,A,4.9375,1.375,78.1875,49.8125,36.1875,15.8125,12.125,3.0625,4.9375
Gregoire Barrere,Hard,G,5.0,3.5,126.5,73.0,51.5,29.5,20.0,8.5,12.5
Gregoire Barrere,Hard,M,4.5,2.625,63.75,35.25,24.25,15.75,10.125,3.25,5.75
Grigor Dimitrov,Clay,A,6.333333333333333,2.8333333333333335,64.16666666666667,36.333333333333336,27.833333333333332,14.333333333333334,9.833333333333334,2.6666666666666665,4.333333333333333
Grigor Dimitrov,Clay,G,4.75,3.75,88.25,49.0,34.5,18.25,13.5,5.5,9.0
Grigor Dimitrov,Clay,M,6.0,4.0,73.5,45.666666666666664,34.333333333333336,13.166666666666666,11.666666666666666,3.5,6.0
Grigor Dimitrov,Grass,A,8.666666666666666,3.0,59.333333333333336,35.333333333333336,28.333333333333332,10.666666666666666,10.0,2.3333333333333335,4.0
Grigor Dimitrov,Grass,G,11.5,5.0,92.75,54.0,45.0,21.0,15.25,3.75,4.75
Grigor Dimitrov,Hard,A,5.55,2.6,65.65,41.1,31.35,12.65,10.8,3.05,4.85
Grigor Dimitrov,Hard,G,12.0,5.166666666666667,113.5,68.83333333333333,50.333333333333336,24.833333333333332,17.666666666666668,4.833333333333333,7.5
Grigor Dimitrov,Hard,M,7.533333333333333,2.933333333333333,73.8,47.06666666666667,37.0,13.466666666666667,12.133333333333333,2.7333333333333334,4.4
Guido Andreozzi,Clay,A,2.5,5.0,64.0,37.5,26.0,14.0,11.5,4.5,8.0
Guido Andreozzi,Hard,A,1.0,6.0,100.0,60.0,42.0,17.0,16.0,4.0,9.0
Guido Pella,Clay,A,2.2857142857142856,2.5714285714285716,66.42857142857143,43.714285714285715,29.714285714285715,10.857142857142858,10.857142857142858,4.285714285714286,7.0
Guido Pella,Clay,G,2.5,5.0,146.5,100.0,68.5,26.5,22.5,8.0,12.5
Guido Pella,Clay,M,0.5,2.0,66.5,48.5,31.0,9.5,9.5,5.5,7.5
Guido Pella,Grass,A,6.5,5.0,105.5,75.5,46.5,14.0,15.5,8.5,13.5
Guido Pella,Grass,G,6.333333333333333,1.3333333333333333,130.33333333333334,97.66666666666667,63.666666666666664,17.666666666666668,20.333333333333332,8.333333333333334,12.333333333333334
Guido Pella,Hard,G,3.5,2.5,88.5,52.0,37.0,21.0,15.0,2.0,5.5
Guido Pella,Hard,M,2.75,2.0,82.25,54.75,36.75,15.0,13.0,3.25,5.75
Hamad Medjedovic,Clay,A,5.5,5.5,70.5,39.5,27.333333333333332,14.333333333333334,11.166666666666666,4.5,7.5
Hamad Medjedovic,Clay,G,5.0,9.0,95.0,52.0,30.0,11.0,14.0,5.0,13.0
Hamad Medjedovic,Grass,G,11.0,8.0,117.0,74.0,52.0,21.0,21.0,5.0,10.0
Hamad Medjedovic,Hard,A,10.2,1.4,78.6,54.0,39.8,14.8,11.8,3.4,3.8
Harold Mayot,Grass,G,14.0,2.5,106.0,70.5,54.0,18.0,18.0,4.0,6.5
Harold Mayot,Hard,A,6.666666666666667,0.6666666666666666,93.33333333333333,61.0,40.333333333333336,17.333333333333332,13.333333333333334,8.333333333333334,12.0
Henrique Rocha,Clay,A,0.0,2.0,54.0,33.0,16.0,13.0,9.0,3.0,7.0
Holger Rune,Clay,A,2.75,4.5,71.5,44.25,32.5,12.5,10.5,4.0,6.0
Holger Rune,Clay,G,3.0,6.4,96.4,59.6,41.0,18.4,14.6,5.6,9.2
Holger Rune,Clay,M,2.8461538461538463,2.923076923076923,73.61538461538461,43.38461538461539,31.076923076923077,17.23076923076923,12.0,3.769230769230769,5.615384615384615
Holger Rune,Grass,A,6.0,3.0,73.0,48.5,36.25,12.75,11.0,3.0,4.0
Holger Rune,Grass,G,9.4,6.0,118.2,73.4,57.0,24.0,19.6,5.4,7.6
Holger Rune,Hard,A,6.65,2.85,71.8,45.3,32.6,14.4,11.1,3.4,5.25
Holger Rune,Hard,G,7.2,5.4,107.6,67.2,49.0,20.2,17.4,4.8,8.0
Holger Rune,Hard,M,5.090909090909091,4.090909090909091,68.0909090909091,42.72727272727273,29.818181818181817,13.0,10.636363636363637,2.6363636363636362,4.818181818181818
Hubert Hurkacz,Clay,A,7.0,6.0,100.0,61.0,44.0,16.0,15.0,1.0,5.0
Hubert Hurkacz,Clay,G,12.0,3.6666666666666665,159.0,93.33333333333333,72.33333333333333,32.666666666666664,25.666666666666668,5.0,9.333333333333334
Hubert Hurkacz,Clay,M,15.166666666666666,3.5,92.83333333333333,51.166666666666664,41.833333333333336,19.333333333333332,14.333333333333334,3.1666666666666665,5.666666666666667
Hubert Hurkacz,Grass,A,18.4,2.0,87.8,58.4,47.2,15.8,14.2,1.2,2.2
Hubert Hurkacz,Grass,G,20.5,2.25,102.25,70.75,58.0,18.0,17.75,4.5,4.75
Hubert Hurkacz,Hard,A,15.9,1.5,81.95,53.3,42.65,14.95,13.3,3.0,4.45
Hubert Hurkacz,Hard,G,15.833333333333334,3.3333333333333335,127.33333333333333,82.16666666666667,64.0,19.333333333333332,20.666666666666668,5.333333333333333,9.333333333333334
Hubert Hurkacz,Hard,M,14.136363636363637,1.3181818181818181,79.27272727272727,51.90909090909091,41.13636363636363,14.727272727272727,12.818181818181818,2.772727272727273,4.045454545454546
Hugo Dellien,Clay,A,1.75,1.0833333333333333,68.16666666666667,47.166666666666664,30.75,10.0,10.75,3.5,6.416666666666667
Hugo Dellien,Clay,G,3.0,1.0,111.0,81.0,50.0,15.0,14.0,11.0,15.0
Hugo Dellien,Clay,M,0.0,5.0,69.0,40.0,26.0,10.0,9.0,2.0,6.0
Hugo Dellien,Grass,G,3.0,6.0,108.0,69.0,52.0,17.0,16.0,8.0,11.0
Hugo Dellien,Hard,G,1.5,4.5,85.5,56.5,34.0,11.5,13.0,6.5,12.5
Hugo Gaston,Clay,A,3.2,2.8,68.6,35.2,22.8,16.6,11.0,3.4,7.0
Hugo Gaston,Clay,G,4.0,5.0,105.0,61.0,34.0,15.0,14.0,11.0,18.0
Hugo Gaston,Clay,M,3.0,1.0,51.5,29.0,21.5,11.0,9.0,1.0,3.5
Hugo Gaston,Hard,A,3.5,1.75,88.25,51.0,33.75,19.25,11.75,6.25,9.5
Hugo Gaston,Hard,G,3.0,2.5,85.5,43.5,26.5,23.0,13.5,7.5,12.0
Hugo Grenier,Clay,A,3.0,1.0,51.0,28.0,19.0,12.0,9.0,2.0,4.0
Hugo Grenier,Clay,G,5.0,4.0,118.0,74.0,42.0,25.0,18.0,6.0,12.0
Hugo Grenier,Clay,M,4.75,3.5,75.0,45.25,29.25,13.25,10.5,4.0,7.5
Illya Marchenko,Hard,A,2.0,3.0,71.0,36.0,21.0,17.0,13.0,4.0,10.0
Ilya Ivashka,Clay,A,2.75,2.75,68.0,41.0,26.5,10.75,10.0,5.75,9.75
Ilya Ivashka,Clay,G,2.0,8.0,119.0,70.0,38.0,21.0,18.0,11.0,21.0
Ilya Ivashka,Clay,M,3.0,2.0,73.75,43.25,31.0,14.5,11.75,3.5,5.75
Ilya Ivashka,Grass,A,4.5,4.5,70.5,34.0,25.5,17.0,11.0,5.0,8.0
Ilya Ivashka,Grass,G,6.0,3.5,106.0,66.5,48.0,19.5,16.0,6.5,9.5
Ilya Ivashka,Hard,A,4.714285714285714,5.714285714285714,84.42857142857143,53.57142857142857,36.714285714285715,13.714285714285714,12.857142857142858,6.428571428571429,10.0
Ilya Ivashka,Hard,G,8.0,6.0,135.0,83.5,57.5,21.5,21.0,8.5,15.5
Ilya Ivashka,Hard,M,3.8,1.4,57.6,36.2,25.6,9.8,8.8,3.8,6.2
Ivan Gakhov,Clay,M,6.0,5.5,87.5,47.0,32.0,20.0,12.5,4.0,7.5
J J Wolf,Clay,A,5.0,1.4,50.4,32.2,24.6,10.6,9.2,0.8,1.8
J J Wolf,Clay,G,9.0,10.0,175.0,92.0,54.0,40.0,22.0,16.0,24.0
J J Wolf,Clay,M,3.5,2.5,62.25,34.25,25.25,16.25,10.75,3.0,4.75
J J Wolf,Grass,A,7.25,3.5,79.75,44.0,31.5,22.0,12.5,4.0,5.5
J J Wolf,Grass,G,7.5,4.5,99.0,56.0,42.0,23.0,16.0,4.0,6.5
J J Wolf,Hard,A,7.05,2.6,66.2,37.75,28.8,14.85,10.55,3.25,5.1
