player_id,player_name,player_hand,player_ht,player_age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,opponent_rank,surface,tourney_level,best_of,target,month
103852,Feliciano Lopez,L,188,41,11,3,88,59,46,14,14,3,5,634,71,Grass,A,3,1,6
103852,Feliciano Lopez,L,188,41,6,4,59,33,23,12,9,6,9,634,48,Grass,A,3,0,6
103852,Feliciano Lopez,L,188,41,11,5,107,48,35,26,15,8,14,593,99,Clay,A,3,0,4
103852,Feliciano Lopez,L,188,41,12,6,71,35,22,23,10,3,4,580,121,Grass,A,3,0,6
103852,Feliciano Lopez,L,188,41,11,3,72,42,34,16,11,7,8,1035,105,Hard,A,3,1,2
103852,Feliciano Lopez,L,188,41,11,6,66,33,27,17,10,1,3,1035,15,Hard,A,3,0,2
104269,Fernando Verdasco,L,188,39,1,5,42,22,10,5,7,2,8,244,125,Clay,A,3,0,4
104269,Fernando Verdasco,L,188,39,3,8,98,59,36,17,12,2,5,133,113,Hard,A,3,0,2
104269,Fernando Verdasco,L,188,39,1,3,74,45,29,8,11,5,10,154,94,Hard,A,3,0,2
104269,Fernando Verdasco,L,188,39,0,4,65,44,23,9,9,1,6,232,71,Clay,A,3,0,4
104269,Fernando Verdasco,L,188,39,0,0,46,33,15,3,7,5,10,118,59,Hard,A,3,0,2
104291,Malek Jaziri,R,185,39,2,2,37,16,8,6,7,0,5,444,29,Hard,A,3,0,2
104527,Stan Wawrinka,R,183,38,12,5,145,85,62,37,25,9,14,89,108,Clay,G,5,0,5
104527,Stan Wawrinka,R,183,37,4,2,64,33,25,10,9,8,12,105,118,Hard,A,3,0,2
104527,Stan Wawrinka,R,183,38,11,1,50,24,23,16,10,2,3,51,10,Hard,M,3,1,8
104527,Stan Wawrinka,R,183,38,5,0,53,30,24,15,9,1,1,84,73,Clay,M,3,1,5
104527,Stan Wawrinka,R,183,37,12,2,103,69,53,22,16,7,7,105,132,Hard,A,3,1,2
104527,Stan Wawrinka,R,183,38,11,0,76,49,33,15,11,2,5,45,83,Hard,A,3,0,10
104527,Stan Wawrinka,R,183,38,13,6,115,53,44,35,16,8,8,51,73,Hard,M,3,1,8
104527,Stan Wawrinka,R,183,37,13,2,89,48,38,21,15,4,6,105,43,Hard,A,3,1,2
